# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_135566.1519804585
# 
Resultados:
# tau_s_=_(2.24+/-0.02)e-07
# dphi_rad_=_6.47+/-0.00
# SAR_W/g_=_521.64+/-6.91
# Hc_kA/m_=_13.28+/-0.12
# Mr_A/m_=_329.28+/-3.73
# Suceptibilidad_a_M=0_=_0.0333+/-0.0004

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_150dA_100Mss_Ni0sRD005.txt	29/05/2024 16:10:15	21.4	317.62	13.32	57041.50	803.35	1.355626e+05	6.605741e+00	6.472009e+00	510.70	2.243556e-07	4426	3.162e-02
135kHz_150dA_100Mss_Ni0sRD006.txt	29/05/2024 16:10:15	21.4	331.89	13.55	57041.50	813.47	1.355626e+05	6.730275e+00	6.473227e+00	523.65	2.258402e-07	4426	3.261e-02
135kHz_150dA_100Mss_Ni0sRD007.txt	29/05/2024 16:10:16	21.4	329.61	13.37	57041.50	815.37	1.355626e+05	6.793178e+00	6.474172e+00	531.14	2.269914e-07	4426	3.306e-02
135kHz_150dA_100Mss_Ni0sRD008.txt	29/05/2024 16:10:17	21.5	329.84	13.39	57041.50	817.87	1.355626e+05	6.801031e+00	6.472535e+00	527.25	2.249982e-07	4426	3.274e-02
135kHz_150dA_100Mss_Ni0sRD009.txt	29/05/2024 16:10:17	21.5	330.81	13.36	57041.50	814.08	1.355626e+05	6.750221e+00	6.474194e+00	527.84	2.270202e-07	4426	3.330e-02
135kHz_150dA_100Mss_Ni0sRD010.txt	29/05/2024 16:10:18	21.5	337.68	13.38	57041.50	842.17	1.355626e+05	6.937953e+00	6.470892e+00	533.25	2.229997e-07	4426	3.407e-02
135kHz_150dA_100Mss_Ni0sRD011.txt	29/05/2024 16:10:18	21.5	337.92	13.42	57041.50	840.74	1.355626e+05	6.933951e+00	6.472956e+00	538.74	2.255118e-07	4426	3.378e-02
135kHz_150dA_100Mss_Ni0sRD012.txt	29/05/2024 16:10:19	21.5	334.09	13.36	57041.50	828.39	1.355626e+05	6.881759e+00	6.471324e+00	530.14	2.235226e-07	4426	3.345e-02
135kHz_150dA_100Mss_Ni0sRD013.txt	29/05/2024 16:10:20	21.5	334.27	13.41	57041.50	818.86	1.355626e+05	6.790343e+00	6.474327e+00	531.34	2.271795e-07	4426	3.360e-02
135kHz_150dA_100Mss_Ni0sRD014.txt	29/05/2024 16:10:20	21.5	330.94	13.43	57041.50	812.13	1.355626e+05	6.737852e+00	6.475392e+00	530.13	2.284747e-07	4426	3.308e-02
